Outlets,website,monthlyOrganicClicks,monthlyPaidClicks,totalClicks
SHEfinds,https://www.shefinds.com/,251500,0,251500
Vegamour Blog,https://vegamour.com/,59890,20750,80640
Radio am&fm,https://streema.com/,284800,3142,287942
Breadcrumbs,https://www.smashingmagazine.com/2009/03/breadcrumbs-in-web-design-examples-and-best-practices/,591200,0,591200
Prevention,https://www.prevention.com/,1863000,115000,1978000
Sip Bite Go,https://sipbitego.com/,117300,0,117300
Boove UK,https://boove.co.uk/,866,0,866
Levi Keswick,https://levikeswick.com/,2407,0,2407
Business Post (Ireland),https://www.businesspost.ie/,3096,0,3096
Livingetc,https://www.livingetc.com/,195900,0,195900
AskMen,https://www.askmen.com/,384200,0,384200
New York Post,https://nypost.com/,9113000,2,9113002
aginginplace.org,https://aginginplace.org/,136600,0,136600
Parade,https://parade.com/,7378000,0,7378000
Healthline,https://www.healthline.com/,42810000,92410,42902410
CEO Blog Nation,https://ceoblognation.com/,2355,0,2355
MetLife,https://www.metlife.com/,391100,29930,421030
CMSWire,https://www.cmswire.com/,94700,0,94700
Coveteur,https://coveteur.com/,162300,0,162300
Famadillo,https://famadillo.com/,2955,0,2955
Bills.com,https://www.bills.com/,48460,0,48460
The Zoe Report,https://www.thezoereport.com/,526400,0,526400
Home Cook World,https://homecookworld.com/,48040,0,48040
Next City,https://nextcity.org/,43870,3822,47692
Psych Central,https://psychcentral.com/,1655000,60,1655060
NurseJournal,https://nursejournal.org/,181900,8,181908
Cogneesol,https://www.cogneesol.com/,2050,0,2050
Magazine,https://time.com/,10050000,13110,10063110
In The Know by Yahoo,https://www.intheknow.com/,593900,0,593900
Lifewire,https://www.lifewire.org/,1806,0,1806
ClothedUp,https://clothedup.com/,140900,0,140900
AARP,https://www.aarp.org/,3803000,339100,4142100
Verywell Mind,https://www.verywellmind.com/,7270000,12,7270012
CNN Underscored,https://www.cnn.com/cnn-underscored,25840000,3300,25843300
Bankrate,https://www.bankrate.com/,8635000,463600,9098600
The E-Comm Boardroom,https://www.ecommboardroom.com/,1067,0,1067
Benzinga,https://www.benzinga.com/,2536000,13919,2549919
NurseJournal.org,https://nursejournal.org/,181900,8,181908
Woman's Day,https://www.womansday.com/,1994000,4668,1998668
PRNEWS.IO,https://prnews.io/,16339,84,16423
Successful Black Parenting,https://successfulblackparenting.com/,1085,0,1085
VegNews,https://vegnews.com/,401400,0,401400
Times of San Diego,https://timesofsandiego.com/,317600,0,317600
Club Meh,https://www.club-meh.com/,2,0,2
Green Global Travel,https://greenglobaltravel.com/,94340,0,94340
The Nurse's Purse,https://www.pinterest.com/pin/12-accessories-to-help-nurses-get-organized--252201647859729622/,207000000,130500,207130500
SolutionSuggest.com,https://solutionsuggest.com/,22170,0,22170
Supermarket News,https://www.supermarketnews.com/,377800,0,377800
Mortgage Research Center,https://www.mortgageresearch.com/,875,0,875
The Story Exchange,https://thestoryexchange.org/,6758,708,7466
BestColleges,https://www.bestcolleges.com/,1613999,2942,1616941
RetailMeNot,https://www.retailmenot.com/,8724000,1168000,9892000
Medical News Today,https://www.medicalnewstoday.com/,19480000,5367,19485367
DoubleBlind,https://doubleblindmag.com/,58240,56,58296
Wired,https://www.wired.com/,9514000,5397,9519397
Women Fitness,https://womensfitness.co.uk/,3060,0,3060
Yahoo Lifestyle,https://www.yahoo.com/lifestyle/,62220000,10340000,72560000
SI Showcase,https://www.si.com/showcase/author/sponsorship-disclaimer,7286000,213,7286213
Millie,https://www.gomillie.com/,6014,0,6014
VP Medium.com,https://en.wikipedia.org/wiki/Medium_(website),847100000,8,847100008
Southern Living,https://www.southernliving.com/,2862000,0,2862000
HowStuffWorks,https://www.howstuffworks.com/,5816000,3456000,9272000
MindBodyGreen,https://www.mindbodygreen.com/,2768000,2439,2770439
Celebrate Woman Today,https://www.internationalwomensday.com/,35710,0,35710
Business Traveller,https://www.businesstraveller.com/,76710,0,76710
Managing Editor Magazine,https://managingeditor.com/,602,0,602
Wealth Management,https://www.wealthmanagement.com/,120100,0,120100
House of Debt,https://houseofdebt.org/,92080,0,92080
Disruptor News,https://www.cnbc.com/cnbc-disruptors/,28640000,997,28640997
Formulate.co,https://www.formulate.co/,20090,235,20325
InStyle,https://www.instyle.com/,1860999,0,1860999
NativePath,https://www.nativepath.com/,8078,4115,12193
babygearlab.com,https://www.babygearlab.com/,126500,0,126500
hubspot,https://www.hubspot.com/products/cms,7398000,22940,7420940
Vox,https://www.vox.com/,6895000,7,6895007
HelloBark!,https://hellobark.com/,74750,0,74750
Smartsheet,https://www.smartsheet.com/,593200,91830,685030
Shape,https://www.shape.com/,1089000,0,1089000
DailyOM,https://www.dailyom.com/,22280,6622,28902
Gladskin,https://gladskin.com/,3287,1277,4564
Circle Magazine and Thought Catalog,https://thoughtcatalog.com/,941200,0,941200
Livestrong.com,https://www.livestrong.com/,2531000,0,2531000
DocPro.com,https://docpro.com/,9449,0,9449
